question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,start_date,end_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,created_at,notes,url,stage,party,answer,candidate_name,pct
101813,59443,2020,,1102,Emerson College,"","",Emerson College,88,Emerson College,B+,558,lv,lv-r,IVR/Online,U.S. President,8/24/19,8/26/19,"",false,,false,false,8/27/19 12:04,,http://emersonpolling.com/2019/08/27/august-national-poll-sanders-closing-gap-with-biden-mayor-pete-fades/,primary,REP,Trump,Donald Trump,83.8
101813,59443,2020,,1102,Emerson College,"","",Emerson College,88,Emerson College,B+,558,lv,lv-r,IVR/Online,U.S. President,8/24/19,8/26/19,"",false,,false,false,8/27/19 12:04,,http://emersonpolling.com/2019/08/27/august-national-poll-sanders-closing-gap-with-biden-mayor-pete-fades/,primary,REP,Weld,William F. Weld,16.2
101814,59443,2020,,1102,Emerson College,"","",Emerson College,88,Emerson College,B+,627,lv,lv-d,IVR/Online,U.S. President,8/24/19,8/26/19,"",false,,false,false,8/27/19 12:04,,http://emersonpolling.com/2019/08/27/august-national-poll-sanders-closing-gap-with-biden-mayor-pete-fades/,primary,DEM,Biden,Joseph R. Biden Jr.,31.2
101814,59443,2020,,1102,Emerson College,"","",Emerson College,88,Emerson College,B+,627,lv,lv-d,IVR/Online,U.S. President,8/24/19,8/26/19,"",false,,false,false,8/27/19 12:04,,http://emersonpolling.com/2019/08/27/august-national-poll-sanders-closing-gap-with-biden-mayor-pete-fades/,primary,DEM,Sanders,Bernard Sanders,24.3
101814,59443,2020,,1102,Emerson College,"","",Emerson College,88,Emerson College,B+,627,lv,lv-d,IVR/Online,U.S. President,8/24/19,8/26/19,"",false,,false,false,8/27/19 12:04,,http://emersonpolling.com/2019/08/27/august-national-poll-sanders-closing-gap-with-biden-mayor-pete-fades/,primary,DEM,Warren,Elizabeth Warren,15.1
101814,59443,2020,,1102,Emerson College,"","",Emerson College,88,Emerson College,B+,627,lv,lv-d,IVR/Online,U.S. President,8/24/19,8/26/19,"",false,,false,false,8/27/19 12:04,,http://emersonpolling.com/2019/08/27/august-national-poll-sanders-closing-gap-with-biden-mayor-pete-fades/,primary,DEM,Harris,Kamala D. Harris,9.8
101814,59443,2020,,1102,Emerson College,"","",Emerson College,88,Emerson College,B+,627,lv,lv-d,IVR/Online,U.S. President,8/24/19,8/26/19,"",false,,false,false,8/27/19 12:04,,http://emersonpolling.com/2019/08/27/august-national-poll-sanders-closing-gap-with-biden-mayor-pete-fades/,primary,DEM,Yang,Andrew Yang,4.4
101814,59443,2020,,1102,Emerson College,"","",Emerson College,88,Emerson College,B+,627,lv,lv-d,IVR/Online,U.S. President,8/24/19,8/26/19,"",false,,false,false,8/27/19 12:04,,http://emersonpolling.com/2019/08/27/august-national-poll-sanders-closing-gap-with-biden-mayor-pete-fades/,primary,DEM,Buttigieg,Pete Buttigieg,3.1
101814,59443,2020,,1102,Emerson College,"","",Emerson College,88,Emerson College,B+,627,lv,lv-d,IVR/Online,U.S. President,8/24/19,8/26/19,"",false,,false,false,8/27/19 12:04,,http://emersonpolling.com/2019/08/27/august-national-poll-sanders-closing-gap-with-biden-mayor-pete-fades/,primary,DEM,Booker,Cory A. Booker,2.9
101814,59443,2020,,1102,Emerson College,"","",Emerson College,88,Emerson College,B+,627,lv,lv-d,IVR/Online,U.S. President,8/24/19,8/26/19,"",false,,false,false,8/27/19 12:04,,http://emersonpolling.com/2019/08/27/august-national-poll-sanders-closing-gap-with-biden-mayor-pete-fades/,primary,DEM,Gabbard,Tulsi Gabbard,2.8
